section,group,qualified_name,name,aliases,help,module,line,kind
main,exploration,1680통합검수,1680통합검수,v1680audit | 1680audit | 솔로원정검수,v16.8 솔로 원정·씨앗·주간 변이·도감·저장 복구·구조·결과 정산 연결을 검사합니다.,v1680_lone_survivor,1395,command
main,exploration,솔로원정,솔로원정,생존원정 | 고독원정 | lonesurvivor | soloexpedition,혼자서 진행하는 버튼형 로그라이크 생존 원정 허브를 엽니다.,v1680_lone_survivor,1277,command
main,exploration,솔로원정기록,솔로원정기록,생존원정기록 | loneexpeditionrecord | solorecord,솔로 원정 완주·철수·구조·최고 점수와 최근 씨앗 기록을 확인합니다.,v1680_lone_survivor,1372,command
main,exploration,솔로원정시작,솔로원정시작,생존원정시작 | loneexpeditionstart | soloexpeditionstart,지역·난이도·NPC 동료·씨앗을 지정해 솔로 원정을 시작합니다.,v1680_lone_survivor,1287,command
main,exploration,솔로원정포기,솔로원정포기,생존원정포기 | abandonloneexpedition,진행 중인 솔로 원정을 확인 후 철수 처리하고 일부 전리품을 정산합니다.,v1680_lone_survivor,1380,command
main,exploration,원정난이도,원정난이도,솔로원정난이도 | expeditiondifficulty | lonedifficulty,솔로 원정 기본 난이도를 생존자·베테랑·악몽·심연 중 선택합니다.,v1680_lone_survivor,1356,command
main,exploration,원정도감,원정도감,솔로원정도감 | expeditioncodex | lonecodex,솔로 원정에서 발견한 사건·적·NPC·유물·도시 설계도·결말을 확인합니다.,v1680_lone_survivor,1325,command
main,exploration,원정씨앗,원정씨앗,솔로원정씨앗 | expeditionseed | loneseed,같은 사건 순서를 재현할 기본 원정 씨앗 코드를 저장하거나 확인합니다.,v1680_lone_survivor,1337,command
main,exploration,원정이어하기,원정이어하기,솔로원정이어하기 | resumeexpedition | resumeloneexpedition,저장된 솔로 생존 원정을 마지막 단계부터 이어갑니다.,v1680_lone_survivor,1311,command
main,exploration,주간변이지역,주간변이지역,주간원정 | weeklyanomaly | weeklyexpedition,이번 주 솔로 원정 변이 지역과 피해·보상 보정을 확인합니다.,v1680_lone_survivor,1333,command
main,story1,1140통합검수,1140통합검수,v1140audit | unified1140audit,v11.0.1~v11.4.0에서 추가·수정한 기능만 검사합니다.,v1140_championship_alliance_casino_story,615,command
main,story1,1650통합검수,1650통합검수,v1650audit | 1650audit,v16.5 명령 허브·언어 분리·스토리 나침반·생존 허브·도시 공방·다음 행동 연결을 검사합니다.,v1650_survivor_core_complete,324,command
main,story1,NPC딜러,NPC딜러,npcdealers | dealerroster,ABADDON 게임도시의 NPC 딜러 6명을 확인합니다.,v1140_championship_alliance_casino_story,356,command
main,story1,개인카지노,개인카지노,mycasino | personalcasino,내 전속 딜러·장식·레벨을 이미지 카드로 확인합니다.,v1140_championship_alliance_casino_story,427,command
main,story1,게임전적,게임전적,gamestats | gamehistory,,v1050_unified_expansion,1283,command
main,story1,권한변경내역,권한변경내역,권한복구목록 | permissionhistory,최근 권한 백업과 복구 ID를 확인합니다.,v1150_server_operations_permissions,1035,command
main,story1,기록,기록,,최근 사채 차입과 상환 기록을 확인합니다.,v40_finance,580,command
main,story1,대회일정,대회일정,tournamentschedule | championshipschedule,주간 챔피언십과 시즌 종료 일정을 확인합니다.,v1140_championship_alliance_casino_story,349,command
main,story1,도시작업기록,도시작업기록,cityworkshophistory | citydecorhistory,도시 공방에서 배치·삭제·복구한 최근 작업과 부품 변화를 확인합니다.,v1650_survivor_core_complete,224,command
main,story1,도움말,도움말,,"카지노 게임별 규칙, 배당, 배팅 범위를 확인합니다.",v39_casino,1365,command
main,story1,딜러고용,딜러고용,hiredealer | employdealer,NPC 딜러를 개인 카지노 전속 딜러로 고용합니다.,v1140_championship_alliance_casino_story,472,command
main,story1,딜러선택,딜러선택,selectdealer | choosedealer,개인 카지노와 아바돈 대전에 사용할 NPC 딜러를 선택합니다.,v1140_championship_alliance_casino_story,364,command
main,story1,랭킹,랭킹,,카지노 누적 순이익 상위 생존자를 확인합니다.,v39_casino,1361,command
main,story1,명령어전수검수,명령어전수검수,fullcommandaudit | commandregistryaudit1630,전체 런타임 명령의 카테고리·페이지·스토리 노출·버튼 실행 연결을 검사합니다.,v1630_core_rpg_command_city_overhaul,1576,command
main,story1,생존허브,생존허브,survivorhub | survivorhome | survivorcore,스토리·생존 상태·경제·보유 자원과 다음 추천 행동을 통합 표시합니다.,v1650_survivor_core_complete,204,command
main,story1,서버설정복구목록,서버설정복구목록,serversettingshistory,최근 서버 설정 백업 ID를 확인합니다.,v1150_server_operations_permissions,1096,command
main,story1,서버역사,서버역사,cityhistory | serverhistory,서버에서 쌓인 BLACK CITY 역사를 확인합니다.,v1320_black_city_complete,699,command
main,story1,선택,선택,,,v33_story,443,command
main,story1,수사레이드기록,수사레이드기록,수사대기록 | investigationraidhistory | caseraidhistory,현재 서버의 최근 협동 수사 레이드 기록을 확인합니다.,v950_investigation_shelter_raid,1026,command
main,story1,스토리나침반,스토리나침반,storycompass | storycontinue | continuejourney,현재 시즌·마지막 선택·다음 목표를 표시하고 버튼으로 스토리를 이어갑니다.,v1650_survivor_core_complete,187,command
main,story1,스토리도감,스토리도감,storycodex | campaigncodex,카드 캠페인 전체 챕터 목록을 확인합니다.,v1140_championship_alliance_casino_story,553,command
main,story1,시작,시작,,,v33_story,419,command
main,story1,시즌2 기록,기록,,,v430_story_expedition,832,command
main,story1,시즌2 선택,선택,,,v430_story_expedition,757,command
main,story1,시즌2 시작,시작,,,v430_story_expedition,731,command
main,story1,시즌2 재시작,재시작,,,v430_story_expedition,856,command
main,story1,시즌3 기록,기록,,,v600_game_center,2893,command
main,story1,시즌3 선택,선택,,,v600_game_center,2821,command
main,story1,시즌3 시작,시작,,,v600_game_center,2792,command
main,story1,시즌3 재시작,재시작,,,v600_game_center,2912,command
main,story1,시즌4 기록,기록,,,v730_season_story,606,command
